dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
304,"00:23:59,508 --> 00:24:03,302
","...And now we have
forgotten who we are.

",0.484287,0.173367,0.167418,0.141041,0.128244,0.335957,0.282818,0.642989,0.25357,0.265409,0.694442,0.0,0.0
305,"00:24:03,897 --> 00:24:07,619
","And the darkness has continued to spread.

",0.193794,0.334605,0.424026,0.073076,0.068182,0.789186,0.473948,0.601867,0.404605,0.592281,0.470844,0.0,0.0
306,"00:24:07,992 --> 00:24:16,446
","Chasing away our fish,
Draining the life from island after island.

",0.504416,0.242334,0.060703,0.02626,0.234947,0.145455,0.110047,0.505569,0.260163,0.106405,0.0,0.0,0.0
307,"00:24:18,993 --> 00:24:20,422
","Our island.

",0.241467,0.595745,0.120297,0.079089,0.037193,0.291323,0.274342,0.599396,0.541946,0.292119,0.0,0.0,0.0
308,"00:24:20,787 --> 00:24:26,120
","But one day,
Someone would journey beyond our reef.

",0.097992,0.511854,0.07841,0.249622,0.094122,0.099681,0.132683,0.917812,0.39843,0.021051,0.0,0.983475,0.0
309,"00:24:26,191 --> 00:24:31,405
","Find Maui,
Deliver him across the great ocean,...

",0.188745,0.485217,0.135623,0.217197,0.043695,0.54872,0.150112,0.795266,0.819707,0.642896,0.908592,0.0,0.0
310,"00:24:31,477 --> 00:24:35,599
","...To restore
The Heart of Te Fiti.

",0.147878,0.510803,0.175311,0.188381,0.062068,0.050959,0.219591,0.511595,0.165867,0.377086,0.0,0.0,0.0
311,"00:24:36,778 --> 00:24:42,516
","I was tell that day,
the ocean choose you.

",0.3063,0.346893,0.202098,0.131519,0.057046,0.650127,0.536034,0.979819,0.64054,0.911805,0.883404,0.0,0.0
312,"00:24:51,515 --> 00:24:53,944
","I thought it was a dream.

",0.331211,0.322134,0.287737,0.016428,0.117087,0.383345,0.081868,0.598917,0.037711,0.368756,0.842108,0.75152,0.0
313,"00:25:00,153 --> 00:25:01,153
","Nope!

",0.0,0.0,0.0,0.0,0.0,0.270981,0.27445,0.599488,0.543005,0.298212,0.0,0.0,0.0
314,"00:25:02,391 --> 00:25:06,097
","Our ancestors believes
Maui lies there.

",0.589215,0.269845,0.147214,0.042541,0.023048,0.437722,0.179634,0.622759,0.516925,0.631814,0.0,0.994704,0.0
315,"00:25:06,272 --> 00:25:08,272
","At the bottom of his hook.

",0.521299,0.120745,0.186508,0.067379,0.20154,0.831721,0.317667,0.624549,0.555195,0.758601,0.0,0.0,0.0
316,"00:25:08,472 --> 00:25:11,442
","Follow it, and you will find him.

",0.240753,0.551862,0.110808,0.126467,0.040138,0.818405,0.594499,0.758738,0.566615,0.460804,0.801827,0.0,0.0
317,"00:25:11,544 --> 00:25:14,544
","But why did it choose me?

",0.396901,0.0277,0.248259,0.405733,0.031177,0.198355,0.505608,0.693726,0.174575,0.16051,0.842108,0.0,0.0
318,"00:25:14,956 --> 00:25:17,868
","I don't even know
how to make it pass the reef.

",0.337441,0.479053,0.072503,0.107948,0.067474,0.003311,0.309483,0.410157,0.162884,0.649507,0.829888,0.972662,0.0
319,"00:25:19,115 --> 00:25:20,757
","But i know who does!

",0.53405,0.330466,0.052436,0.156523,0.010765,0.440207,0.278096,0.610384,0.144626,0.227477,0.882284,0.0,0.0
320,"00:25:30,186 --> 00:25:32,424
","- The crabs are turning black!
- What about the fish?

",0.456644,0.131938,0.115753,0.17683,0.211307,0.863502,0.154542,0.477491,0.657198,0.609551,0.0,0.920133,0.0
321,"00:25:32,448 --> 00:25:34,615
","- This is happening all over the island.
- Please, please, settle down.

",0.314117,0.16176,0.219598,0.204473,0.185169,0.690241,0.219512,0.7021,0.688191,0.014821,0.0,0.0,0.975399
322,"00:25:34,631 --> 00:25:36,440
","- What do you going to do?
- We would take new field

",0.2339,0.33352,0.328068,0.13854,0.057292,0.018041,0.630365,0.724602,0.54009,0.887581,0.0,0.0,0.0
323,"00:25:36,456 --> 00:25:38,750
","- We will find a way to...
- We can stop the darkness!

",0.222867,0.300183,0.453526,0.06363,0.031288,0.200963,0.282211,0.631762,0.093887,0.344067,0.912059,0.0,0.0
324,"00:25:38,765 --> 00:25:40,123
","Save our island!

",0.155769,0.68524,0.089518,0.097685,0.032327,0.179379,0.274268,0.60531,0.528761,0.37047,0.955445,0.0,0.0
325,"00:25:40,400 --> 00:25:43,416
","These are covered the boats.
Huge canoes!

",0.241626,0.400963,0.18322,0.089821,0.156252,0.909872,0.157174,0.486994,0.650087,0.394197,0.0,0.0,0.0
326,"00:25:43,543 --> 00:25:45,559
","We can take them,
find Maui.

",0.324464,0.524374,0.100545,0.063021,0.059973,0.185325,0.264284,0.695108,0.511903,0.520858,0.952933,0.0,0.0
327,"00:25:45,591 --> 00:25:47,391
","Make him restore the heart.

",0.116462,0.58803,0.100555,0.197636,0.057784,0.200327,0.294293,0.582481,0.345975,0.507451,0.0,0.0,0.0
328,"00:25:47,456 --> 00:25:50,825
","We were voyagers.
We can voyage again!

",0.227129,0.488525,0.231624,0.078927,0.029254,0.397442,0.283304,0.734071,0.323467,0.241652,0.0,0.0,0.0
329,"00:25:53,726 --> 00:25:57,910
","You told me to help our people.
This is how we help our people.

",0.393348,0.090584,0.165935,0.384716,0.088768,0.093946,0.706164,0.857642,0.750288,0.178678,0.0,0.0,0.0
330,"00:25:58,638 --> 00:26:00,750
","Dad? What are you doing?

",0.306028,0.360676,0.171701,0.194718,0.06055,0.116976,0.477044,0.767831,0.777805,0.55517,0.0,0.0,0.0
331,"00:26:00,813 --> 00:26:03,252
","I should've burn those boats
a long time ago!

",0.316899,0.407246,0.138442,0.169068,0.053831,0.005855,0.136502,0.599033,0.069128,0.390901,0.912808,0.0,0.0
332,"00:26:03,308 --> 00:26:05,792
","No! Don't!
We have to find Maui!

",0.232181,0.277338,0.076728,0.442274,0.04608,0.003401,0.203371,0.608042,0.478319,0.433052,0.952933,0.0,0.986725
333,"00:26:05,982 --> 00:26:08,665
","- We have to restore the heart.
- There is no heart!

",0.214089,0.287172,0.191082,0.347235,0.035726,0.094976,0.272013,0.408332,0.059709,0.394929,0.0,0.0,0.971165
334,"00:26:08,681 --> 00:26:11,030
","This?
This is just a rock!

",0.299953,0.216997,0.213502,0.160158,0.179404,0.913584,0.172168,0.523053,0.588917,0.332311,0.0,0.994704,0.0
335,"00:26:11,062 --> 00:26:12,062
","No!

",0.0,0.0,0.0,0.0,0.0,0.286025,0.274434,0.599483,0.543325,0.291319,0.0,0.0,0.0
336,"00:26:24,993 --> 00:26:25,993
","Chief!

",0.0,0.0,0.0,0.0,0.0,0.290097,0.274434,0.599483,0.543325,0.291091,0.997482,0.0,0.0
337,"00:26:26,116 --> 00:26:27,249
","It's your mother!

",0.240196,0.648325,0.026903,0.093067,0.057131,0.348578,0.296706,0.612991,0.581042,0.572746,0.0,0.0,0.0
338,"00:26:37,629 --> 00:26:38,629
","Mother!

",0.0,0.0,0.0,0.0,0.0,0.288365,0.274434,0.599483,0.543326,0.291462,0.0,0.0,0.0
339,"00:26:54,904 --> 00:26:58,094
","- What can be done?
- I don't know. I kinda something...

",0.572015,0.219273,0.125696,0.111153,0.052741,0.180449,0.240781,0.736661,0.003274,0.038541,0.857009,0.99699,0.0
340,"00:27:02,471 --> 00:27:03,471
","Go.

",0.0,0.0,0.0,0.0,0.0,0.238032,0.274436,0.599485,0.543369,0.30327,0.0,0.0,0.0
341,"00:27:04,035 --> 00:27:05,035
","Grandma?

",0.0,0.0,0.0,0.0,0.0,0.280152,0.274434,0.599483,0.543326,0.291577,0.0,0.0,0.0
342,"00:27:08,305 --> 00:27:09,305
","Go.

",0.0,0.0,0.0,0.0,0.0,0.238032,0.274436,0.599485,0.543369,0.30327,0.0,0.0,0.0
343,"00:27:09,829 --> 00:27:12,419
","Not now. I can't.

",0.176037,0.074747,0.365275,0.439224,0.018674,0.002428,0.074009,0.432061,0.010395,0.000672,0.0,0.0,0.0
344,"00:27:12,515 --> 00:27:17,067
","You must.
The ocean choose you.

",0.088787,0.391783,0.37711,0.095621,0.086224,0.723864,0.372713,0.729736,0.549235,0.740821,0.952933,0.0,0.971165
345,"00:27:17,467 --> 00:27:19,523
","- Follow the fish hook...
- Grandma?

",0.264917,0.484812,0.088232,0.05818,0.154855,0.7789,0.158611,0.685282,0.629654,0.676385,0.0,0.0,0.0
346,"00:27:19,610 --> 00:27:22,388
","And when you find Maui...

",0.253146,0.529609,0.068082,0.121141,0.124622,0.362057,0.503442,0.774476,0.913026,0.643025,0.0,0.822231,0.0
347,"00:27:22,483 --> 00:27:26,800
","...You grab him by the hear.
You say...

",0.406065,0.147923,0.179901,0.122945,0.230344,0.813937,0.411733,0.873577,0.571115,0.882337,0.0,0.0,0.0
348,"00:27:26,864 --> 00:27:30,126
","""I'm Moana of Mautunui...

",0.165655,0.031401,0.507001,0.027058,0.370074,0.622221,0.013353,0.253956,0.118215,0.0,0.0,0.0,0.0
349,"00:27:30,142 --> 00:27:35,096
","...You will board my boat,
sail across the sea...

",0.141791,0.515985,0.267647,0.126088,0.022826,0.704726,0.164856,0.601985,0.657809,0.538573,0.0,0.0,0.0
350,"00:27:35,118 --> 00:27:39,258
","...And restore
The Heart of Te Fiti.""

",0.121824,0.565267,0.181576,0.172166,0.049169,0.321717,0.271142,0.474472,0.223492,0.337214,0.0,0.0,0.0
351,"00:27:40,369 --> 00:27:43,456
","I... I can't leave you.

",0.421085,0.369279,0.13544,0.082361,0.042716,0.004902,0.145745,0.572337,0.158157,0.011805,0.0,0.0,0.0
352,"00:27:43,678 --> 00:27:49,948
","There is no way you could go
that i want be with you.

",0.513572,0.219264,0.222424,0.062325,0.051507,0.697443,0.954804,0.978883,0.630461,0.817461,0.066924,0.959646,0.0
353,"00:28:01,835 --> 00:28:02,835
","Go!

",0.0,0.0,0.0,0.0,0.0,0.238032,0.274436,0.599485,0.543369,0.30327,0.0,0.0,0.0
354,"00:28:14,999 --> 00:28:17,309
","There's the light where the sky
meets the sea

",0.197358,0.628022,0.116459,0.11522,0.028969,0.781668,0.108108,0.508746,0.444077,0.448781,0.0,0.0,0.0
355,"00:28:17,356 --> 00:28:20,301
","And it calls me

",0.206106,0.329127,0.277016,0.211057,0.073389,0.586849,0.430372,0.642659,0.796048,0.195612,0.0,0.0,0.0
356,"00:28:20,332 --> 00:28:26,769
","But no one knows
how far it goes

",0.729203,0.077635,0.127405,0.111041,0.041155,0.017503,0.098346,0.409196,0.050697,0.450956,0.908592,0.0,0.0
357,"00:28:26,864 --> 00:28:31,740
","All the time wondering where need to be
is behind me

",0.16553,0.149525,0.348891,0.369131,0.057312,0.539216,0.62783,0.743831,0.597712,0.182067,0.0,0.0,0.0
358,"00:28:31,936 --> 00:28:32,936
","-

",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,"00:28:38,515 --> 00:28:41,326
","Every turn I take
Every trail I track

",0.446393,0.310543,0.134373,0.09094,0.088685,0.185491,0.123432,0.499035,0.225063,0.592007,0.0,0.0,0.997153
360,"00:28:41,348 --> 00:28:44,197
","Is a choice I make
No I can't turn back

",0.065137,0.276992,0.381481,0.308587,0.022441,0.041665,0.077014,0.259311,0.021675,0.109388,0.857009,0.0,0.0
361,"00:28:44,356 --> 00:28:50,797
","From the great unknown
Where I go alone, Where I long to be

",0.236304,0.13477,0.61884,0.055229,0.005657,0.148518,0.391336,0.965073,0.154633,0.642888,0.0,0.959646,0.0
362,"00:28:59,049 --> 00:29:01,573
","See her light at the night and the sea

",0.236298,0.572955,0.120045,0.052949,0.096278,0.77333,0.400873,0.656727,0.724642,0.617554,0.0,0.0,0.0
363,"00:29:01,645 --> 00:29:04,441
","She calls me

",0.372071,0.25865,0.238446,0.151568,0.074886,0.350405,0.275286,0.600139,0.557725,0.226157,0.0,0.0,0.0
364,"00:29:04,526 --> 00:29:07,169
","Yes I know!

",0.360466,0.51075,0.102041,0.069341,0.041655,0.292042,0.341023,0.647556,0.401448,0.521331,0.955445,0.0,0.0
365,"00:29:07,224 --> 00:29:10,534
","That I can go!

",0.798702,0.079808,0.080739,0.089077,0.006479,0.275865,0.448062,0.7067,0.254956,0.59495,0.0,0.0,0.0
366,"00:29:10,661 --> 00:29:15,755
","There's a moon and the sky
And the wind is behind me

",0.063086,0.194373,0.733901,0.03427,0.048292,0.904269,0.063875,0.352454,0.513585,0.131633,0.0,0.0,0.0
367,"00:29:15,811 --> 00:29:18,359
","Soon I'll know

",0.498794,0.290088,0.196581,0.045589,0.03285,0.1722,0.287809,0.613591,0.524192,0.397328,0.955445,0.0,0.0
368,"00:29:18,399 --> 00:29:25,296
","How far I'll go!

",0.54715,0.196768,0.196895,0.086376,0.053072,0.006446,0.366789,0.74758,0.418906,0.452054,0.0,0.0,0.0
369,"00:29:40,687 --> 00:29:43,901
","""I am Moana of Matunui...

",0.218334,0.010406,0.578922,0.056917,0.292386,0.394791,0.01603,0.115819,0.005988,0.0,0.0,0.0,0.0
370,"00:29:44,089 --> 00:29:47,176
","...You will board my boat.
Sail across the sea...

",0.141439,0.515778,0.268128,0.126183,0.022809,0.704726,0.164856,0.601985,0.657809,0.538573,0.0,0.0,0.0
371,"00:29:47,240 --> 00:29:49,620
","...And restore
The Heart of Te Fiti.""

",0.121824,0.565267,0.181576,0.172166,0.049169,0.321717,0.271142,0.474472,0.223492,0.337214,0.0,0.0,0.0
372,"00:29:49,645 --> 00:29:51,423
","""I am Moana...

",0.426347,0.035787,0.425286,0.153122,0.062172,0.101962,0.176564,0.491121,0.244625,0.00077,0.0,0.0,0.0
373,"00:29:52,732 --> 00:29:53,732
","...of Matu...

",0.119541,0.041453,0.522776,0.038596,0.361754,0.700457,0.30194,0.562129,0.436401,0.142062,0.0,0.0,0.0
374,"00:29:55,566 --> 00:29:56,566
","...Nui...

",0.0,0.0,0.0,0.0,0.0,0.289215,0.274434,0.599483,0.543325,0.290616,0.0,0.0,0.0
375,"00:30:08,346 --> 00:30:09,346
","HeiHei?

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
376,"00:30:21,115 --> 00:30:24,067
",":'v

",0.0,0.0,0.0,0.0,0.0,0.286315,0.274434,0.599483,0.543325,0.291013,0.0,0.0,0.0
377,"00:30:26,789 --> 00:30:27,789
",":'v

",0.0,0.0,0.0,0.0,0.0,0.286315,0.274434,0.599483,0.543325,0.291013,0.0,0.0,0.0
378,"00:30:29,194 --> 00:30:29,876
",":'v

",0.0,0.0,0.0,0.0,0.0,0.286315,0.274434,0.599483,0.543325,0.291013,0.0,0.0,0.0
379,"00:30:31,935 --> 00:30:36,339
","It's okay... You're alright.
Yeah, see?

",0.346497,0.426798,0.071308,0.096627,0.139165,0.176666,0.140889,0.61745,0.431054,0.37869,0.0,0.0,0.0
380,"00:30:36,959 --> 00:30:42,367
","There we go, nice water.
The ocean is a friend of mine.

",0.465356,0.252858,0.164476,0.086224,0.090006,0.749012,0.134172,0.441369,0.403139,0.772455,0.0,0.0,0.0
381,"00:30:44,766 --> 00:30:45,766
","HeiHei?

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
382,"00:30:47,044 --> 00:30:48,044
","HeiHei!

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
383,"00:31:03,045 --> 00:31:04,045
","Stay!

",0.0,0.0,0.0,0.0,0.0,0.260974,0.274436,0.599481,0.543356,0.291592,0.0,0.0,0.0
384,"00:31:10,194 --> 00:31:13,154
","Okay, next stop,
Maui.

",0.209103,0.388636,0.252544,0.132155,0.082276,0.076258,0.137149,0.615782,0.475351,0.230361,0.0,0.0,0.0
385,"00:31:21,154 --> 00:31:24,001
","""I am Moana of Matunui...

",0.218334,0.010406,0.578922,0.056917,0.292386,0.394791,0.01603,0.115819,0.005988,0.0,0.0,0.0,0.0
386,"00:31:24,081 --> 00:31:30,835
","...You will board my boat.
Sail across the sea...

",0.141439,0.515778,0.268128,0.126183,0.022809,0.704726,0.164856,0.601985,0.657809,0.538573,0.0,0.0,0.0
387,"00:31:31,065 --> 00:31:33,749
","...And restore
The Heart of Te Fiti.""

",0.121824,0.565267,0.181576,0.172166,0.049169,0.321717,0.271142,0.474472,0.223492,0.337214,0.0,0.0,0.0
388,"00:31:34,224 --> 00:31:38,465
","""I am Moana of Matu...

",0.218334,0.010406,0.578922,0.056917,0.292386,0.394791,0.01603,0.115819,0.005988,0.0,0.0,0.0,0.0
389,"00:31:39,256 --> 00:31:40,256
","Wonder boat!

",0.404419,0.422824,0.157397,0.032203,0.052077,0.253784,0.273935,0.599491,0.547884,0.335377,0.0,0.998976,0.0
390,"00:31:43,692 --> 00:31:44,692
","Oh no.

",0.776778,0.186487,0.064972,0.014323,0.019641,0.17652,0.274868,0.599268,0.53931,0.30588,0.0,0.0,0.0
391,"00:31:51,239 --> 00:31:52,506
","No! No! No! No! No!

",0.402475,0.254489,0.1348,0.190523,0.058357,0.286025,0.274434,0.599483,0.543325,0.291319,0.0,0.0,0.0
392,"00:31:52,636 --> 00:31:53,636
","No! Argh!

",0.228828,0.499166,0.10702,0.140307,0.069073,0.111143,0.274368,0.598806,0.540583,0.211696,0.0,0.0,0.0
393,"00:32:04,143 --> 00:32:09,332
","Uhh... Ocean?
Can I get a little help?

",0.422813,0.09341,0.203228,0.303346,0.044056,0.278326,0.0785,0.84936,0.282152,0.015283,0.0,0.0,0.0
394,"00:32:12,699 --> 00:32:13,699
","No!

",0.0,0.0,0.0,0.0,0.0,0.286025,0.274434,0.599483,0.543325,0.291319,0.0,0.0,0.0
395,"00:32:15,509 --> 00:32:18,644
","Please! Come on!
Uhh!

",0.162046,0.447234,0.197476,0.137778,0.114625,0.114894,0.161809,0.634096,0.522588,0.110682,0.0,0.0,0.0
396,"00:32:28,944 --> 00:32:29,944
","Help me!

",0.26856,0.256277,0.388607,0.173891,0.007117,0.437055,0.279294,0.603803,0.557072,0.268709,0.0,0.0,0.0
397,"00:32:30,571 --> 00:32:31,571
","Please!

",0.0,0.9,0.0,0.0,0.0,0.30735,0.274437,0.599488,0.543384,0.291211,0.0,0.0,0.0
398,"00:33:15,774 --> 00:33:16,774
","Umm...

",0.0,0.0,0.0,0.0,0.0,0.285643,0.274438,0.599486,0.54333,0.302565,0.0,0.0,0.0
399,"00:33:17,004 --> 00:33:18,004
","What?!

",0.0,0.0,0.0,0.0,0.0,0.270333,0.275881,0.600433,0.540803,0.351793,0.0,0.0,0.0
400,"00:33:18,615 --> 00:33:22,576
","I said help me!
And wrecking my boat?

",0.530672,0.265075,0.189735,0.092868,0.009617,0.499771,0.189433,0.806745,0.90368,0.013272,0.0,0.0,0.0
401,"00:33:22,822 --> 00:33:24,211
","Not help me!

",0.192202,0.139932,0.19434,0.45439,0.117239,0.486218,0.389759,0.662807,0.633331,0.085355,0.0,0.0,0.0
402,"00:33:26,316 --> 00:33:27,490
","Fish pee in you!

",0.084362,0.158844,0.356145,0.155051,0.294687,0.190608,0.275857,0.606686,0.57243,0.340858,0.0,0.0,0.0
403,"00:33:27,959 --> 00:33:28,959
","All day...

",0.256777,0.728855,0.027408,0.032791,0.015678,0.116665,0.276742,0.598121,0.543094,0.402416,0.0,0.0,0.996934
404,"00:33:29,181 --> 00:33:30,181
","So...

",0.0,0.0,0.0,0.0,0.0,0.232415,0.274435,0.599489,0.543326,0.273312,0.0,0.0,0.0
405,"00:33:39,475 --> 00:33:40,475
","What?

",0.0,0.0,0.0,0.0,0.0,0.270333,0.275881,0.600433,0.540803,0.351793,0.0,0.0,0.0
406,"00:33:44,617 --> 00:33:45,617
","Maui?

",0.0,0.0,0.0,0.0,0.0,0.28877,0.274434,0.599483,0.543325,0.29101,0.0,0.0,0.0
407,"00:33:52,651 --> 00:33:53,651
","Maui!

",0.0,0.0,0.0,0.0,0.0,0.28877,0.274434,0.599483,0.543325,0.29101,0.0,0.0,0.0
408,"00:33:57,253 --> 00:33:59,453
","""Maui, demigod of wind and sea...

",0.091969,0.614878,0.269918,0.038598,0.064545,0.794637,0.269608,0.51566,0.638487,0.204078,0.182902,0.0,0.0
409,"00:33:59,825 --> 00:34:01,625
","...I am Moana of Matunui...

",0.223487,0.019517,0.564993,0.04142,0.245596,0.394791,0.01603,0.115819,0.005988,0.0,0.0,0.0,0.0
410,"00:34:01,769 --> 00:34:03,769
","...You will board my boat..
No!

",0.089744,0.322595,0.462546,0.15123,0.030373,0.182483,0.287639,0.647032,0.832416,0.792348,0.0,0.0,0.0
411,"00:34:03,912 --> 00:34:06,054
","You will board my boat!
Yeah!

",0.056751,0.563605,0.389132,0.051547,0.015719,0.34532,0.374092,0.783301,0.855016,0.852624,0.0,0.0,0.0
412,"00:34:06,467 --> 00:34:08,436
","Hi! I'm Moana of Matunui...

",0.082592,0.701273,0.127855,0.104621,0.040689,0.602279,0.097452,0.672606,0.334035,0.00021,0.0,0.0,0.0
413,"00:34:08,523 --> 00:34:11,171
","You will board my...

",0.091275,0.396626,0.445558,0.130136,0.022165,0.376335,0.7022,0.792782,0.886513,0.743335,0.0,0.0,0.0
414,"00:34:11,243 --> 00:34:12,243
","Boat!

",0.0,0.0,0.0,0.0,0.0,0.289538,0.274434,0.599483,0.543325,0.291166,0.0,0.0,0.0
415,"00:34:12,275 --> 00:34:13,275
","A boat!

",0.139085,0.665215,0.195116,0.034911,0.031374,0.317755,0.274387,0.599293,0.544339,0.332031,0.0,0.0,0.0
416,"00:34:13,378 --> 00:34:16,076
","The god have given me a...

",0.113628,0.471368,0.281635,0.199918,0.047538,0.532201,0.356849,0.623018,0.356972,0.35423,0.0,0.0,0.0
417,"00:34:16,092 --> 00:34:17,092
","AAARRRGGGHHH!

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
418,"00:34:30,651 --> 00:34:31,468
","Maui...

",0.0,0.0,0.0,0.0,0.0,0.28877,0.274434,0.599483,0.543325,0.29101,0.0,0.0,0.0
419,"00:34:31,516 --> 00:34:32,516
","Shapeshifter

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
420,"00:34:32,556 --> 00:34:34,556
","Demigod of the wind and sea...

",0.082243,0.387273,0.556905,0.023908,0.025803,0.91613,0.236934,0.413535,0.501401,0.232397,0.182902,0.0,0.0
421,"00:34:34,873 --> 00:34:37,096
","- I am Moana of Matu...
- Hero of man.

",0.41026,0.096128,0.233796,0.127759,0.216483,0.366518,0.026906,0.367556,0.061984,0.00197,0.0,0.0,0.0
422,"00:34:37,421 --> 00:34:39,421
","- What?
- It's actualy Maui Shapeshifter...

",0.23004,0.379653,0.181451,0.110515,0.18671,0.064954,0.172768,0.514437,0.496316,0.16758,0.0,0.0,0.0
423,"00:34:39,461 --> 00:34:40,929
","...Demigod of the wind and sea.

",0.082252,0.387091,0.55717,0.023877,0.025742,0.91613,0.236934,0.413535,0.501401,0.232397,0.0,0.0,0.0
424,"00:34:40,985 --> 00:34:42,278
","Hero of man

",0.402977,0.203326,0.155249,0.123149,0.188686,0.330349,0.27564,0.601098,0.547002,0.401095,0.0,0.0,0.0
425,"00:34:44,088 --> 00:34:45,579
","Hero of man. Go!

",0.483249,0.215416,0.170981,0.115311,0.080035,0.090693,0.123143,0.600803,0.334109,0.38601,0.0,0.0,0.0
426,"00:34:47,310 --> 00:34:49,730
","- I am Moa...
- Sorry... Sorry...

",0.590433,0.05311,0.030971,0.377779,0.042917,0.005448,0.119793,0.603279,0.388004,0.080836,0.0,0.0,0.0
427,"00:34:49,858 --> 00:34:52,048
","...And women.
Man and women.

",0.291427,0.25794,0.134909,0.086577,0.331969,0.512828,0.131174,0.605963,0.4781,0.244648,0.0,0.0,0.0
428,"00:34:52,127 --> 00:34:56,938
","Both all. Not only a guy or girl or thing.
You know, Maui is a hero to all.

",0.20482,0.608479,0.076146,0.046766,0.13614,0.815291,0.442459,0.654466,0.912946,0.890808,0.896183,0.619955,0.0
429,"00:34:56,992 --> 00:34:58,059
","You do it great.

",0.09935,0.695851,0.13131,0.133558,0.016651,0.164165,0.648996,0.826635,0.774162,0.953324,0.0,0.0,0.0
430,"00:34:58,413 --> 00:34:59,413
","What? No!

",0.264001,0.324368,0.09411,0.297259,0.091162,0.197131,0.275849,0.597194,0.539922,0.371628,0.0,0.0,0.0
431,"00:34:59,444 --> 00:35:00,111
","I'm here to...

",0.35659,0.453429,0.102265,0.085876,0.054895,0.19422,0.272904,0.620297,0.550174,0.13999,0.0,0.0,0.0
432,"00:35:00,136 --> 00:35:05,476
","Of course! Yes!
Maui always has time for his fans.

",0.390043,0.447851,0.032596,0.040031,0.159287,0.110185,0.900781,0.834298,0.726529,0.901804,0.0,0.0,0.997801
433,"00:35:07,088 --> 00:35:08,973
","When you use a bird to ride with...

",0.114664,0.058288,0.095012,0.687414,0.12164,0.147279,0.349154,0.598322,0.889874,0.947928,0.0,0.0,0.0
434,"00:35:09,763 --> 00:35:11,363
","...It's called tweeting.

",0.293853,0.275175,0.150471,0.163872,0.218852,0.517534,0.255983,0.578405,0.480569,0.208775,0.0,0.0,0.0
435,"00:35:14,850 --> 00:35:17,727
","I know not everyday
You gotta chance to meet a mature hero.

",0.6914,0.160735,0.116904,0.072935,0.012155,0.052358,0.124101,0.808329,0.377898,0.523047,0.0,0.966403,0.0
436,"00:35:18,406 --> 00:35:20,882
","You are not my hero!

",0.376463,0.256875,0.140794,0.290852,0.017085,0.43119,0.393991,0.561471,0.622885,0.632292,0.0,0.0,0.0
437,"00:35:21,025 --> 00:35:23,716
","And i'm not here so you can
sign my orb!

",0.696465,0.041232,0.05121,0.29974,0.00754,0.326442,0.239937,0.811822,0.519152,0.037282,0.0,0.0,0.0
438,"00:35:23,803 --> 00:35:26,239
","I'm here 'coz you stole
the heart of Te Fiti.

",0.288986,0.282787,0.20823,0.218344,0.068948,0.185641,0.134866,0.611587,0.136645,0.01707,0.0,0.0,0.0
439,"00:35:26,311 --> 00:35:28,437
","And you will board my boat...

",0.111431,0.365135,0.491662,0.10349,0.010854,0.610639,0.650041,0.755031,0.92091,0.771309,0.0,0.0,0.0
440,"00:35:28,842 --> 00:35:31,681
","...Sail across the sea
and put it back!

",0.236996,0.476688,0.083454,0.223972,0.074275,0.888978,0.178268,0.512624,0.451511,0.39754,0.0,0.0,0.0
441,"00:35:34,390 --> 00:35:36,183
","It almost sounds like
you don't like me...

",0.62938,0.055067,0.281055,0.129439,0.041833,0.455532,0.394884,0.723755,0.330926,0.109195,0.0,0.99856,0.0
442,"00:35:36,215 --> 00:35:38,715
","...Which is impossible because
i stuck here...

",0.486321,0.105974,0.076403,0.363126,0.065707,0.498502,0.009921,0.359424,0.003582,2.5e-05,0.989679,0.0,0.962182
443,"00:35:38,787 --> 00:35:42,493
","For thousand years try to
get a hard as a gift for immortal.

",0.545105,0.053863,0.151247,0.19879,0.091043,0.018455,0.232669,0.573594,0.077981,0.803572,0.0,0.84639,0.0
444,"00:35:42,549 --> 00:35:46,089
","So you can have the power
to create life itself.

",0.119679,0.588173,0.268316,0.055258,0.025478,0.135771,0.441439,0.451025,0.102333,0.713882,0.0,0.0,0.0
445,"00:35:46,279 --> 00:35:49,430
","Yeah, so what i believe
you were tryin' to say...

",0.390126,0.500271,0.063672,0.053864,0.06277,0.006268,0.306627,0.842636,0.065777,0.335259,0.0,0.978371,0.0
